feedback,latent_agent,subject,latent_prob,mine_prob_win_left,mine_prob_win_right,latent_guess,block_num,trial_num,condition,subj_choice
0,0,12943,0.3,0.3,0.7,1,1,1,1,1
0,1,12943,0.3,0.3,0.7,1,1,2,1,2
0,1,12943,0.3,0.3,0.7,1,1,3,1,2
0,1,12943,0.3,0.3,0.7,1,1,4,1,1
0,0,12943,0.3,0.3,0.7,1,1,5,1,1
0,0,12943,0.3,0.3,0.7,1,1,6,1,2
0,0,12943,0.3,0.3,0.7,1,1,7,1,1
0,0,12943,0.3,0.3,0.7,1,1,8,1,1
0,1,12943,0.3,0.3,0.7,1,1,9,1,2
0,0,12943,0.3,0.3,0.7,1,1,10,1,2
1,0,12943,0.3,0.3,0.7,0,1,11,1,2
0,0,12943,0.3,0.3,0.7,1,1,12,1,2
0,0,12943,0.3,0.3,0.7,1,1,13,1,2
0,1,12943,0.3,0.3,0.7,0,1,14,1,2
0,0,12943,0.3,0.3,0.7,1,1,15,1,1
1,0,12943,0.3,0.3,0.7,0,1,16,1,2
0,0,12943,0.3,0.3,0.7,1,1,17,1,2
1,0,12943,0.3,0.3,0.7,0,1,18,1,2
0,0,12943,0.3,0.3,0.7,1,1,19,1,2
0,1,12943,0.3,0.3,0.7,1,1,20,1,2
1,0,12943,0.3,0.3,0.7,0,1,21,1,2
0,0,12943,0.3,0.3,0.7,1,1,22,1,2
0,1,12943,0.3,0.3,0.7,1,1,23,1,2
1,0,12943,0.3,0.3,0.7,0,1,24,1,2
1,0,12943,0.3,0.3,0.7,0,1,25,1,2
1,0,12943,0.3,0.3,0.7,0,1,26,1,2
0,1,12943,0.3,0.3,0.7,1,1,27,1,2
1,0,12943,0.3,0.3,0.7,0,1,28,1,2
1,0,12943,0.3,0.3,0.7,0,1,29,1,2
1,0,12943,0.3,0.3,0.7,0,1,30,1,2
1,0,12943,0.3,0.3,0.7,0,1,31,1,2
0,1,12943,0.3,0.3,0.7,1,1,32,1,2
0,1,12943,0.3,0.3,0.7,1,1,33,1,2
0,0,12943,0.3,0.3,0.7,1,1,34,1,2
0,0,12943,0.3,0.3,0.7,1,1,35,1,2
1,0,12943,0.3,0.3,0.7,0,1,36,1,2
0,1,12943,0.3,0.3,0.7,1,1,37,1,2
1,0,12943,0.3,0.3,0.7,0,1,38,1,2
1,0,12943,0.3,0.3,0.7,0,1,39,1,2
1,0,12943,0.3,0.3,0.7,0,1,40,1,2
0,1,12943,0.3,0.3,0.7,1,1,41,1,2
1,0,12943,0.3,0.3,0.7,0,1,42,1,2
0,1,12943,0.3,0.3,0.7,1,1,43,1,2
0,0,12943,0.3,0.3,0.7,1,1,44,1,2
1,0,12943,0.3,0.3,0.7,0,1,45,1,2
1,0,12943,0.3,0.3,0.7,0,1,46,1,2
0,1,12943,0.3,0.3,0.7,1,1,47,1,2
0,1,12943,0.3,0.3,0.7,1,1,48,1,2
1,0,12943,0.3,0.3,0.7,0,1,49,1,2
1,0,12943,0.3,0.3,0.7,0,1,50,1,2
1,1,12943,0.3,0.3,0.7,1,2,1,2,1
0,0,12943,0.3,0.3,0.7,0,2,2,2,1
0,0,12943,0.3,0.3,0.7,0,2,3,2,1
0,0,12943,0.3,0.3,0.7,0,2,4,2,1
1,1,12943,0.3,0.3,0.7,1,2,5,2,1
1,0,12943,0.3,0.3,0.7,1,2,6,2,2
0,0,12943,0.3,0.3,0.7,0,2,7,2,2
1,1,12943,0.3,0.3,0.7,1,2,8,2,2
1,0,12943,0.3,0.3,0.7,1,2,9,2,2
1,0,12943,0.3,0.3,0.7,1,2,10,2,2
1,0,12943,0.3,0.3,0.7,1,2,11,2,2
1,1,12943,0.3,0.3,0.7,1,2,12,2,2
0,0,12943,0.3,0.3,0.7,0,2,13,2,2
0,0,12943,0.3,0.3,0.7,0,2,14,2,2
0,0,12943,0.3,0.3,0.7,0,2,15,2,2
1,1,12943,0.3,0.3,0.7,1,2,16,2,2
0,0,12943,0.3,0.3,0.7,0,2,17,2,2
1,0,12943,0.3,0.3,0.7,0,2,18,2,2
1,0,12943,0.3,0.3,0.7,1,2,19,2,2
1,1,12943,0.3,0.3,0.7,1,2,20,2,2
